link,description,title
http://www.bloomberg.com/news/2014-01-29/south-sudan-transfers-seven-detainees-to-kenya-after-probe-ends.html,"Seven people detained by the South Sudanese authorities last month after being accused of plotting a coup against President Salva Kiir have been transferred to Kenya, President Uhuru Kenyatta said.",South Sudan Transfers Seven Detainees to Kenya After Probe Ends
http://www.bloomberg.com/news/2014-01-29/world-bank-gets-first-measure-of-unequal-somaliland-economy.html,"Somaliland, a breakaway territory in northern Somalia, has a gross domestic product of $1.4 billion with a “high” income gap between rich and poor, according to the World Bank’s first economic output estimate.",World Bank Gets First Measure of ‘Unequal’ Somaliland Economy
http://www.bloomberg.com/news/2014-01-29/kenya-to-buy-more-than-300-000-tons-of-fuel-from-five-suppliers.html,"Kenya will buy more than 300,000 metric tons of fuel including gasoil, gasoline and jet fuel for February and March delivery, according to bidding documents obtained by Bloomberg News.","Kenya to Buy More Than 300,000 Tons of Fuel From Five Suppliers"
http://www.bloomberg.com/news/2014-01-29/qatar-china-top-ranking-of-frontier-and-emerging-markets.html,"Amer Khan says he could sense a stock market rally in late 2012 just from the street scene in Dubai, the financial capital of the United Arab Emirates. Tourists were once again jostling for a spot from which to watch the dancing fountains that adorn the downtown area. Recurring traffic jams, increasing retail sales and a rise in airport passengers were other signals for Khan, the senior executive officer at Dubai-based Shuaa Asset Management.","Qatar, China Top Ranking of Frontier and Emerging Markets"
http://www.bloomberg.com/news/2014-01-27/kenyan-energy-bonanza-fans-clan-violence-in-arid-northern-region.html,Boru Sora stood in front of a pile of tree trunks and rocks in the middle of the road as he explained why he and other residents of his village in northern Kenya are blocking a key trade route to neighboring Ethiopia.,Kenyan Energy Bonanza Fans Violence in Arid Northern Region
http://www.bloomberg.com/news/2014-01-28/friday-was-a-90-90-day-and-what-it-means-.html,"When more than 90 percent of of the prices and trading volume is down, the market is in clear retreat.",Friday Was a 90/90 Day and What It Means
http://www.bloomberg.com/news/2014-01-28/kenyan-court-imposes-maximum-fine-on-chinese-ivory-smuggler.html,"A Kenyan court ruled that a Chinese man who admitted to smuggling ivory will serve seven years in jail if he fails to pay a $230,000 fine, according to the country’s wildlife authority.",Kenyan Court Imposes Maximum Fine on Chinese Ivory Smuggler
http://www.bloomberg.com/news/2014-01-28/ge-s-immelt-urges-more-private-investment-in-africa-health-care.html,"General Electric Co. Chief Executive Officer Jeffrey Immelt urged private investors to provide more funding for health care in African nations, where government-run services are overstretched.",GE’s Immelt Urges More Private Investment in Africa Health Care
http://www.bloomberg.com/news/2014-01-28/kenya-tracks-lions-to-prevent-conflicts-with-livestock-herders.html,"Lions in Nairobi National Park have been fitted with satellite tracking collars to alert authorities when they stray into residential areas in a bid to prevent conflicts with humans, Kenya Wildlife Services said.",Kenya Tracks Lions to Prevent Conflicts With Livestock Herders
http://www.bloomberg.com/news/2014-01-27/kenya-selects-tata-sinohydro-among-22-bids-for-power-plants-1-.html,"Kenya selected 22 bidders to compete for the development of a 960-megawatt coal-fired power plant and a 700-megawatt natural gas-powered facility in the east of the country, Energy Secretary Davis Chirchir said.","Kenya Selects Tata, Sinohydro Among 22 Bids for Power Plants"
http://www.bloomberg.com/news/2014-01-29/lenovo-said-near-deal-to-buy-google-handset-unit-for-about-3b.html?cmpid=,,Lenovo to Buy Google’s Motorola Unit for $2.91 Billion
http://www.bloomberg.com/news/2014-01-29/fed-cuts-qe-to-65-billion-pace-as-labor-market-improves-further.html?cmpid=,,Fed Policy Makers Rally Behind Tapering QE as Yellen Era Begins
http://www.bloomberg.com/news/2014-01-29/u-s-stock-index-futures-little-changed-before-fed.html?cmpid=,,U.S. Stocks Retreat as Fed Plans More Cuts in Stimulus
http://www.bloomberg.com/news/2014-01-29/snowden-nominated-by-norwegian-lawmakers-for-nobel-peace-prize.html?cmpid=,,Snowden Gets Nobel Nomination as U.S. Pursues Trial
http://www.bloomberg.com/news/2014-01-28/turkey-more-than-doubles-main-interest-rate-to-halt-lira-slump.html?cmpid=,,Turkey Rate Increase Stems Lira Decline as Basci Defies Erdogan
